dates,pos,neg,neu,value
2014-07-07,0.08948,-0.038239999999999996,0.87232,0.05124000000000001
2014-07-11,0.10800000000000001,-0.05464,0.83744,0.05336000000000001
2014-07-17,0.0784,-0.049879999999999994,0.87176,0.028520000000000004
2014-07-23,0.12423999999999999,-0.026319999999999996,0.84944,0.09792
2014-07-29,0.07604,-0.04604,0.87792,0.03
2014-08-03,0.05836,-0.03576000000000001,0.90584,0.022599999999999995
2014-08-10,0.10450000000000001,-0.008384615384615384,0.8871153846153846,0.09611538461538463
2014-08-15,0.12346153846153846,-0.028038461538461536,0.8485,0.09542307692307692
2014-08-22,0.07646153846153846,-0.02746153846153846,0.8960769230769231,0.048999999999999995
2014-08-28,0.05712,-0.03559999999999999,0.90728,0.021520000000000004
2014-09-03,0.05036,-0.04968,0.9,0.00068
2014-09-08,0.0348,-0.04568,0.91952,-0.01088
2014-09-09,0.05148,-0.062360000000000006,0.88616,-0.010880000000000008
2014-09-14,0.0958,-0.02896,0.8752800000000001,0.06684
2014-09-15,0.0958,-0.02896,0.8752800000000001,0.06684
2014-09-20,0.03304,-0.02304,0.94392,0.009999999999999998
2014-09-22,0.03304,-0.032279999999999996,0.9346800000000001,0.0007600000000000037
2014-09-26,0.07492,-0.07396,0.8510800000000001,0.0009600000000000025
2014-09-29,0.102,-0.056080000000000005,0.8419200000000001,0.04591999999999999
2014-10-01,0.02328,-0.07128,0.9053999999999999,-0.048
2014-10-06,0.061399999999999996,-0.04824,0.8904,0.013159999999999998
2014-10-07,0.06568,-0.058600000000000006,0.87576,0.007079999999999996
2014-10-08,0.05712,-0.05852,0.8843599999999999,-0.0014000000000000054
2014-10-10,0.0794,-0.040999999999999995,0.8795999999999999,0.038400000000000004
2014-10-13,0.08624000000000001,-0.03304,0.8807200000000001,0.05320000000000001
2014-10-14,0.07496,-0.07112,0.85392,0.003839999999999996
2014-10-15,0.08692,-0.06444,0.8486400000000001,0.02248
2014-10-20,0.07148,-0.0304,0.89812,0.041080000000000005
2014-10-25,0.13612,-0.044559999999999995,0.81928,0.09156
2014-10-30,0.07368000000000001,-0.047560000000000005,0.87872,0.026120000000000004
2014-11-04,0.09699999999999999,-0.00844,0.8946000000000001,0.08855999999999999
2014-11-09,0.09304,-0.06,0.8469599999999999,0.03304
2014-11-12,0.0776,-0.04372,0.8786799999999999,0.03388
2014-11-16,0.06132,-0.040519999999999994,0.8981600000000001,0.020800000000000006
2014-11-17,0.06948,-0.040519999999999994,0.89,0.028960000000000007
2014-11-21,0.07992,-0.05824,0.8618399999999999,0.021680000000000005
2014-11-26,0.05476,-0.03916,0.90604,0.015600000000000003
2014-12-01,0.04472,-0.02648,0.9288,0.018240000000000003
2014-12-07,0.07816,-0.06984,0.852,0.008319999999999994
2014-12-16,0.0622,-0.02596,0.91188,0.036239999999999994
2014-12-17,0.0622,-0.04,0.8978400000000001,0.022199999999999998
2014-12-18,0.11907999999999999,-0.0642,0.8168000000000001,0.05488
2014-12-24,0.09584,-0.0196,0.88456,0.07624
2014-12-29,0.10448,-0.06032,0.83516,0.044160000000000005
2015-01-02,0.1256,-0.027160000000000004,0.84724,0.09843999999999999
2015-01-06,0.11036,-0.0622,0.82748,0.04816
2015-01-08,0.07812,-0.05551999999999999,0.8663599999999999,0.022600000000000002
2015-01-10,0.0938,-0.04516,0.86104,0.048639999999999996
2015-01-11,0.0938,-0.04971999999999999,0.8564799999999999,0.04408
2015-01-16,0.052160000000000005,-0.04512000000000001,0.9027200000000001,0.007039999999999998
2015-01-20,0.06466666666666666,-0.05918518518518519,0.8761481481481481,0.005481481481481476
2015-01-21,0.11621428571428571,-0.0595,0.8242857142857142,0.05671428571428572
2015-01-23,0.11221428571428571,-0.03296428571428572,0.8548214285714285,0.07924999999999999
2015-01-24,0.0804074074074074,-0.06111111111111111,0.8584814814814814,0.01929629629629629
2015-01-29,0.08388888888888889,-0.0387037037037037,0.8774074074074074,0.04518518518518519
2015-02-03,0.11096153846153846,-0.07115384615384615,0.8178846153846154,0.03980769230769231
2015-02-05,0.06557692307692307,-0.054884615384615386,0.8795384615384615,0.010692307692307688
2015-02-06,0.0815,-0.04919230769230769,0.8693076923076923,0.032307692307692315
2015-02-07,0.0815,-0.04919230769230769,0.8693076923076923,0.032307692307692315
2015-02-13,0.05831034482758621,-0.09006896551724139,0.8516206896551723,-0.03175862068965518
2015-02-16,0.06264,-0.07644000000000001,0.86092,-0.013800000000000007
2015-02-17,0.07252,-0.09204000000000001,0.83544,-0.01952000000000001
2015-02-20,0.0366,-0.11556000000000001,0.84784,-0.07896
2015-02-23,0.05188000000000001,-0.06164,0.8864799999999999,-0.009759999999999991
2015-02-27,0.083,-0.040920000000000005,0.87604,0.04208
2015-03-02,0.1204,-0.02536,0.8542400000000001,0.09503999999999999
2015-03-06,0.11772,-0.0296,0.85272,0.08812
2015-03-09,0.11084,-0.09596,0.79316,0.01487999999999999
2015-03-13,0.15756,-0.05528,0.78712,0.10228000000000001
2015-03-14,0.09177419354838709,-0.024838709677419354,0.8834193548387097,0.06693548387096773
2015-03-17,0.09854838709677419,-0.024516129032258065,0.877,0.07403225806451612
2015-03-21,0.07825806451612903,-0.027516129032258065,0.8941935483870967,0.050741935483870966
2015-03-24,0.09183870967741935,-0.01729032258064516,0.8908709677419355,0.0745483870967742
2015-03-28,0.0867741935483871,-0.017838709677419358,0.8954193548387096,0.06893548387096773
2015-04-01,0.055363636363636365,-0.0206969696969697,0.923939393939394,0.034666666666666665
