BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,ADAUSDT
7599.00000000,754.00000000,8.06470000,,
7784.02000000,781.66000000,8.27910000,,
8683.92000000,877.00000000,9.86000000,,
8533.98000000,851.15000000,9.24480000,,
8063.88000000,808.99000000,8.67400000,,
8903.00000000,866.66000000,9.33890000,,
8539.90000000,841.57000000,9.01600000,,
9449.99000000,919.09000000,10.40960000,,
10000.09000000,924.55000000,10.86610000,,
10159.98000000,938.67000000,11.25000000,,
11039.55000000,969.99000000,11.66000000,,
10383.43000000,911.00000000,10.66310000,,
11153.00000000,938.11000000,11.06010000,,
11200.99000000,882.99000000,9.88880000,,
10437.60000000,835.89000000,9.37990000,,
9811.04000000,801.49000000,8.86000000,,
10131.04000000,851.60000000,9.69300000,,
9694.51000000,833.94000000,9.08730000,,
9590.00000000,841.19000000,9.35000000,,
10324.00000000,867.98000000,9.91990000,,
10569.04000000,870.11000000,10.56000000,,
10326.76000000,853.50000000,10.45360000,,
10920.00000000,870.63000000,10.47680000,,
11039.00000000,856.28000000,10.23480000,,
11464.48000000,856.02000000,10.23990000,,
11515.00000000,866.66000000,10.41390000,,
11454.00000000,849.84000000,10.08470000,,
10716.48000000,813.11000000,9.38990000,,
9910.00000000,749.90000000,9.04050000,,
9271.64000000,695.46000000,8.27030000,,
9227.00000000,723.71000000,8.28070000,,
8770.22000000,680.58000000,7.65000000,,
9533.57000000,720.85000000,8.26800000,,
9131.34000000,697.11000000,8.03400000,,
9150.00000000,689.94000000,10.21880000,,
8170.00000000,610.10000000,8.92430000,,
8240.98000000,608.83000000,9.10470000,,
8260.00000000,599.05000000,9.06450000,,
7824.80000000,546.95000000,8.92310000,,
8189.99000000,537.00000000,8.96480000,,
8600.00000000,556.88000000,9.03500000,,
8909.98000000,557.00000000,9.16180000,,
8885.00000000,559.17000000,9.97770000,,
8722.90000000,539.92000000,10.08060000,,
8898.03000000,543.03000000,11.73970000,,
8546.86000000,520.22000000,13.23980000,,
8470.15000000,523.74000000,12.95000000,,
8134.23000000,485.00000000,12.05000000,,
7795.51000000,448.50000000,11.54040000,,
7949.30000000,446.67000000,11.68880000,,
7090.14000000,384.00000000,10.18770000,,
6840.23000000,392.43000000,10.39550000,,
6923.91000000,393.92000000,11.05100000,,
6813.01000000,378.58000000,11.07670000,,
7056.00000000,385.05000000,12.59960000,,
7405.21000000,415.01000000,13.30500000,,
6796.10000000,378.16000000,12.21000000,,
6770.76000000,381.22000000,12.48880000,,
6601.39000000,368.89000000,12.25990000,,
6895.80000000,384.51000000,12.50000000,,
7018.00000000,400.40000000,12.13110000,,
6782.72000000,399.44000000,11.88880000,,
6843.90000000,416.07000000,12.09040000,,
6953.79000000,429.52000000,12.33000000,,
7923.00000000,495.67000000,13.00870000,,
7877.41000000,495.11000000,13.52000000,,
7999.01000000,502.68000000,13.28880000,,
8355.00000000,533.88000000,13.09890000,,
8064.92000000,511.46000000,12.23420000,,
7885.02000000,502.56000000,11.77700000,,0.24260000
8173.00000000,526.09000000,12.29990000,,0.26200000
8278.00000000,568.14000000,12.36100000,,0.27004000
8856.98000000,617.09000000,12.58580000,,0.30108000
8915.31000000,604.87000000,13.33020000,,0.28668000
8787.02000000,620.92000000,12.88880000,,0.28160000
8934.01000000,645.09000000,13.64500000,,0.28788000
9619.99000000,701.58000000,15.08950000,,0.30853000
8869.99000000,618.00000000,13.39990000,,0.26870000
9266.00000000,661.51000000,14.63000000,,0.29326000
8915.35000000,643.46000000,14.23960000,,0.28445000
9348.00000000,682.86000000,15.20110000,,0.35676000
9419.00000000,690.85000000,15.04890000,,0.36254000
9246.01000000,670.78000000,14.32910000,,0.34145000
9071.48000000,672.00000000,14.17110000,,0.35504000
9247.84000000,688.56000000,14.43900000,,0.37199000
9750.00000000,779.00000000,14.69990000,,0.36716000
9713.99000000,785.99000000,14.36220000,0.88990000,0.35800000
9864.00000000,819.50000000,14.44680000,0.90280000,0.36502000
9659.01000000,794.30000000,14.01200000,0.86483000,0.34654000
9365.00000000,752.49000000,13.71000000,0.82490000,0.33046000
9187.56000000,748.99000000,13.49810000,0.80667000,0.32213000
9310.00000000,751.75000000,14.64170000,0.79481000,0.31884000
9002.20000000,722.52000000,13.79570000,0.74558000,0.29121000
8400.00000000,676.96000000,12.98840000,0.67610000,0.25573000
